company;twitter
Universität Duisburg-Essen Campus Essen;https://twitter.com/unidue
Ludwig-Maximilians-Universität München / LMU;https://twitter.com/lmu_muenchen?lang=en
Technische Universität Dortmund;https://twitter.com/TU_Dortmund
Albert-Ludwigs-Universität Freiburg;https://twitter.com/UniFreiburg
Georg-August-Universität Göttingen - Stiftung Öffentlichen Rechts;https://twitter.com/unigoettingen
Universität Hamburg;https://twitter.com/unihh
Johannes Gutenberg-Universität Mainz;https://twitter.com/uni_mainz
Institut für Physik der Johannes Gutenberg-Universität Mainz;https://twitter.com/uni_mainz_eng?lang=en
Carl von Ossietzky Uni Oldenburg;https://twitter.com/unioldenburg
Universität Potsdam - DIfE - Deutsches Institut für Ernährungsforschung;https://twitter.com/Leibniz_DIfE
TU Dresden;https://twitter.com/tudresden_de
Heinrich-Heine-Universität Düsseldorf;https://twitter.com/HHU_de
Studentenring;https://twitter.com/studentenring
Bayerische Rotes Kreuz;https://twitter.com/brkaktuell?lang=en
Technische Universität Bergakademie Freiberg;https://twitter.com/tubergakademie
AWO-Sozialmanagement gGmbH;https://twitter.com/awothueringen
Otto Christ AG;https://twitter.com/christwashsys
Medical Park Bad Rodach GmbH;https://twitter.com/intent/follow?source=followbutton&variant=1.0&screen_name=MEDICALPARK_GER
